MS_grad,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6
1.84842333,0.34849432,0.28080514,0.87146163,0.21489821,0.60792369,0.59084493
3.253321408,0.33527264,0.28505364,0.82288074,0.36677,0.62537122,0.6301946
6.237448864,0.35717595,0.28808317,0.90755439,0.31176728,0.65027303,0.62484181
2.736507649,0.31396028,0.25484559,0.81472439,0.21242689,0.4875181,0.49649373
5.182423585,0.31202164,0.275599,0.84509128,0.27603775,0.60198778,0.59282386
4.126844038,0.32706043,0.28737754,0.85668314,0.28432575,0.58327901,0.55973637
5.651940347,0.34855169,0.27014962,0.88817048,0.28474894,0.78607827,0.72189498
5.418737532,0.31141195,0.30622989,0.890728,0.34191355,0.67885429,0.68483311
3.273128309,0.2954337,0.24153259,0.79176658,0.2260803,0.68756074,0.64869666
7.112049718,0.32994318,0.27329245,0.86339986,0.26800796,0.75422424,0.71365184
-4.236030098,0.30386755,0.22710191,0.56827468,0.13056681,0.44217446,0.52419329
9.111896512,0.34791169,0.26539922,0.72612548,0.13740824,0.61519933,0.64909828
6.666765412,0.31802219,0.2403173,0.80868548,0.16763191,0.70743454,0.75361532
1.62090288,0.28492779,0.22765651,0.637573,0.12671375,0.54821026,0.54883981
8.085932183,0.33048344,0.24986382,0.66960901,0.12033492,0.54592836,0.58602244
0.778413728,0.27012756,0.21947886,0.61665308,0.10816388,0.57910794,0.62137151
9.451882405,0.30478558,0.22384174,0.76970577,0.11149601,0.75407475,0.74888015
0.28444784,0.24761331,0.21165995,0.72504318,0.18458155,0.60061598,0.61407346
0.485496406,0.27594286,0.23431538,0.72006392,0.18352509,0.59892458,0.59890616
3.397812326,0.27913219,0.23232925,0.90038896,0.10689355,0.70577151,0.73770607
3.147803878,0.31875157,0.20390545,0.73910707,0.15465878,0.639817,0.57602447
3.733923523,0.34442741,0.23906624,0.79751647,0.20308606,0.77481753,0.73385364
3.841182153,0.2431169,0.23167641,0.84365231,0.13354212,0.71181566,0.72995216
2.104290371,0.33049244,0.27545413,0.83875334,0.19963618,0.68870354,0.64316338
3.709244628,0.29060146,0.20191705,0.74460202,0.14567435,0.68959141,0.61721098
7.193652242,0.27249765,0.23266792,0.97722375,0.11328492,0.89163947,0.90118766
8.15729494,0.32050845,0.24185415,0.90914881,0.13957469,0.8951059,0.83168513
1.402523938,0.28768709,0.25185528,0.78443545,0.15400131,0.64975506,0.629646
2.905404468,0.31828493,0.26922265,0.79295802,0.18496576,0.58588207,0.614434
3.634450619,0.31467459,0.28039241,0.77358425,0.19350033,0.5138306,0.47008967
4.789986243,0.3191773,0.22138473,0.75790471,0.13294172,0.68173683,0.63245642
7.17461622,0.33817357,0.24151699,0.8596378,0.17913161,0.88098049,0.77579862
3.107850428,0.27008131,0.24361195,0.86964387,0.19930722,0.68822837,0.67456204
4.961869912,0.33371967,0.24676958,0.8130936,0.2219858,0.77134639,0.77213496
6.450600591,0.31888151,0.24099846,0.79125148,0.19598992,0.67178714,0.65269917
5.81791537,0.31720415,0.25056747,0.89655948,0.16123445,0.77190685,0.76189625
8.453809696,0.29752409,0.20117816,0.82116085,0.21392787,0.80568057,0.83798802
4.398953344,0.27792519,0.23306593,0.70449209,0.15266517,0.50557554,0.57071793
-3.672116204,0.22382003,0.20589326,0.5819245,0.20008714,0.54552972,0.5375427
-11.06332328,0.23727329,0.16660245,0.532516,0.30748168,0.36970916,0.50925255
-9.846802051,0.22893853,0.2067681,0.56216067,0.2200501,0.41342625,0.41752139
-11.91425469,0.24000657,0.19557065,0.56220341,0.19044496,0.35134524,0.3648259
-11.84853373,0.2168507,0.17982216,0.55015123,0.30030411,0.39088911,0.41919324
-12.20905365,0.21756704,0.2184131,0.6103546,0.23736486,0.44639766,0.4429304
-8.025858451,0.25124252,0.22111309,0.58611304,0.22327,0.43107605,0.42334637
-6.900995959,0.21677728,0.18651114,0.51182193,0.17024291,0.41972011,0.44579175
-11.80822653,0.23112045,0.21433786,0.61804473,0.23585361,0.45480353,0.44427386
-8.906153188,0.24481852,0.2236899,0.59437734,0.21295035,0.3991586,0.38578358
-12.12248813,0.23433955,0.20439991,0.56522739,0.21179137,0.34728673,0.33137035
